model,citizenship,position,n,positives,negatives,fpr,fnr,fpr_low,fpr_high,fnr_low,fnr_high
XGBoost,Italy,All,80,10,70,0.02857142857142857,1.0,0.007870446893806289,0.09832443512391814,0.7224598312333834,1.0
XGBoost,Netherlands,All,121,23,98,0.09183673469387756,0.9565217391304348,0.04906865909068409,0.16539772792601637,0.7900841350594088,0.9922835330378734
XGBoost,Portugal,All,112,12,100,0.04,0.8333333333333334,0.015663050551848016,0.09837217232607373,0.5519636426153274,0.9530358523851776
XGBoost,Russia,All,118,7,111,0.0,0.8571428571428571,-3.469446951953614e-18,0.03345129291127953,0.48686549668097007,0.9743210440510253
XGBoost,Spain,All,190,27,163,0.012269938650306749,0.9629629629629629,0.0033712637819556593,0.04362900473620768,0.8171614606584348,0.9934320234669025
XGBoost,Türkiye,All,82,6,76,0.013157894736842105,1.0,0.002326420140567463,0.0708384462949749,0.6096569663469354,0.9999999999999999
XGBoost,Brazil,Centre-Forward,33,12,21,0.14285714285714285,0.6666666666666666,0.04980921798213492,0.346364941492295,0.3906175873976139,0.8618821601026385
XGBoost,England,Attacking Midfield,25,5,20,0.05,0.6,0.008881219432873136,0.23613589351256675,0.23071993220883708,0.8823817688407467
XGBoost,England,Centre-Forward,32,11,21,0.2857142857142857,0.45454545454545453,0.13813675745628204,0.49956773822837586,0.21270957543988045,0.7199122443100118
XGBoost,France,Centre-Forward,50,20,30,0.13333333333333333,0.45,0.05309569424218104,0.2968168394441695,0.25819502085709295,0.6579179916924003
XGBoost,France,Right Winger,35,7,28,0.0,0.7142857142857143,0.0,0.12064720365810762,0.35892909014821267,0.9177828342909844
XGBoost,Germany,Attacking Midfield,28,5,23,0.043478260869565216,1.0,0.0077164669621267445,0.20991586494059142,0.5655085052479191,1.0000000000000002
XGBoost,Germany,Centre-Forward,40,6,34,0.058823529411764705,0.8333333333333334,0.016282313063842452,0.1909393688946371,0.43649056343635395,0.9699474141282697
XGBoost,Italy,Centre-Forward,31,7,24,0.08333333333333333,1.0,0.023158327842973503,0.258492152014506,0.6456611570247934,1.0
XGBoost,Netherlands,Attacking Midfield,42,9,33,0.06060606060606061,1.0,0.016780530429070947,0.19606581717798194,0.7008472464490407,1.0
XGBoost,Netherlands,Centre-Forward,41,10,31,0.16129032258064516,0.9,0.07092519905439934,0.3263470272497887,0.5958436145024278,0.9821242504842788
XGBoost,Russia,Centre-Forward,45,6,39,0.0,0.8333333333333334,0.0,0.08966985360023902,0.43649056343635395,0.9699474141282697
XGBoost,Spain,Centre-Forward,55,19,36,0.05555555555555555,0.9473684210526315,0.015369663767066846,0.18144974107611211,0.7536078466345479,0.99064824750947
Logistic without valuation,Argentina,All,61,10,51,0.0196078431372549,0.7,0.003469603253442241,0.10304807675589372,0.39677321997956516,0.892210712513788
Logistic without valuation,Brazil,All,103,21,82,0.024390243902439025,0.9047619047619048,0.00671422956512354,0.08463541909007394,0.7108541613925933,0.9734817912030528
Logistic without valuation,England,All,104,23,81,0.09876543209876543,0.6086956521739131,0.05089950757441662,0.1829668975853163,0.4078517960374599,0.7784262201761787
Logistic without valuation,France,All,142,31,111,0.018018018018018018,0.5806451612903226,0.004955074866777286,0.06332680208373542,0.40765964352020967,0.7358469692645074
Logistic without valuation,Germany,All,98,13,85,0.03529411764705882,0.8461538461538461,0.012074823021218324,0.09870211030731246,0.5776482949136899,0.9567427368172621
Logistic without valuation,Italy,All,80,10,70,0.02857142857142857,1.0,0.007870446893806289,0.09832443512391814,0.7224598312333834,1.0
Logistic without valuation,Netherlands,All,121,23,98,0.07142857142857142,0.9565217391304348,0.03502800789949942,0.14016169846803606,0.7900841350594088,0.9922835330378734
Logistic without valuation,Portugal,All,112,12,100,0.01,0.9166666666666666,0.0017673865655472645,0.0544875247609346,0.6461140782014047,0.9851352905492264
Logistic without valuation,Russia,All,118,7,111,0.009009009009009009,0.8571428571428571,0.0015920445055909102,0.04927454042530521,0.48686549668097007,0.9743210440510253
Logistic without valuation,Spain,All,190,27,163,0.006134969325153374,0.9629629629629629,0.0010837669947276023,0.03392908351737489,0.8171614606584348,0.9934320234669025
Logistic without valuation,Türkiye,All,82,6,76,0.013157894736842105,1.0,0.002326420140567463,0.0708384462949749,0.6096569663469354,0.9999999999999999
Logistic without valuation,Brazil,Centre-Forward,33,12,21,0.047619047619047616,0.9166666666666666,0.008455769471923294,0.22669816586235464,0.6461140782014047,0.9851352905492264
Logistic without valuation,England,Attacking Midfield,25,5,20,0.05,0.8,0.008881219432873136,0.23613589351256675,0.3755282641185388,0.9637768390302125
Logistic without valuation,England,Centre-Forward,32,11,21,0.19047619047619047,0.45454545454545453,0.07667440615177301,0.40000986539273287,0.21270957543988045,0.7199122443100118
Logistic without valuation,France,Centre-Forward,50,20,30,0.06666666666666667,0.5,0.01847663532769335,0.21323817721072091,0.2992949144298199,0.7007050855701801
Logistic without valuation,France,Right Winger,35,7,28,0.0,0.8571428571428571,0.0,0.12064720365810762,0.48686549668097007,0.9743210440510253
Logistic without valuation,Germany,Attacking Midfield,28,5,23,0.0,1.0,-1.3877787807814457e-17,0.14312112541726274,0.5655085052479191,1.0000000000000002
Logistic without valuation,Germany,Centre-Forward,40,6,34,0.08823529411764706,0.6666666666666666,0.030465390304310128,0.22960817952360413,0.29998832134152864,0.9032306674407831
Logistic without valuation,Italy,Centre-Forward,31,7,24,0.08333333333333333,1.0,0.023158327842973503,0.258492152014506,0.6456611570247934,1.0
Logistic without valuation,Netherlands,Attacking Midfield,42,9,33,0.06060606060606061,1.0,0.016780530429070947,0.19606581717798194,0.7008472464490407,1.0
Logistic without valuation,Netherlands,Centre-Forward,41,10,31,0.16129032258064516,0.9,0.07092519905439934,0.3263470272497887,0.5958436145024278,0.9821242504842788
Logistic without valuation,Russia,Centre-Forward,45,6,39,0.02564102564102564,0.8333333333333334,0.00454058606523737,0.13181286478627147,0.43649056343635395,0.9699474141282697
Logistic without valuation,Spain,Centre-Forward,55,19,36,0.027777777777777776,0.9473684210526315,0.004920280295569679,0.141700337350308,0.7536078466345479,0.99064824750947
