replicate,model,auc
120,Random Forest,0.7988465435273947
120,XGBoost,0.8073814286580244
121,Logistic,0.8152706608855603
121,Random Forest,0.785709827880699
121,XGBoost,0.8095848114571015
122,Logistic,0.8089115174563235
122,Random Forest,0.7867462042146799
122,XGBoost,0.8057698081377063
123,Logistic,0.787469713285772
123,Random Forest,0.7807225063938619
123,XGBoost,0.7940839951541258
124,Logistic,0.807430176565008
124,Random Forest,0.7910947030497592
124,XGBoost,0.8044349919743179
125,Logistic,0.7990254366933689
125,Random Forest,0.7874996523141967
125,XGBoost,0.7984691394080997
126,Logistic,0.8040017150713668
126,Random Forest,0.7889824382361695
126,XGBoost,0.8027933693356579
127,Logistic,0.8047857042648711
127,Random Forest,0.7876402918069585
127,XGBoost,0.7982691498316499
128,Logistic,0.7982981997230344
128,Random Forest,0.7926727188798277
128,XGBoost,0.798467456531774
129,Logistic,0.8134098348596859
129,Random Forest,0.7854389642870279
129,XGBoost,0.8084648203317518
130,Logistic,0.8026067743314201
130,Random Forest,0.7972318048601783
130,XGBoost,0.8041332122359264
131,Logistic,0.8068001497983819
131,Random Forest,0.7901707875737016
131,XGBoost,0.80109910208063
132,Logistic,0.8107449004188134
132,Random Forest,0.7879888667932146
132,XGBoost,0.8067055349664044
133,Logistic,0.8076036866359448
133,Random Forest,0.8014245279385903
133,XGBoost,0.8100987766838248
134,Logistic,0.7855192392991794
134,Random Forest,0.7788901363938789
134,XGBoost,0.7867858033932136
135,Logistic,0.821447823974246
135,Random Forest,0.8092541834968263
135,XGBoost,0.818932790718863
136,Logistic,0.8322108334021381
136,Random Forest,0.8153595734893432
136,XGBoost,0.8239424713870639
137,Logistic,0.7950095541000917
137,Random Forest,0.7876884106251651
137,XGBoost,0.7988657648937105
138,Logistic,0.8237662730850742
138,Random Forest,0.8141800914639005
138,XGBoost,0.8267954172442915
139,Logistic,0.8008755502989684
139,Random Forest,0.7860026940009199
139,XGBoost,0.7962021157763322
140,Logistic,0.7974738887539471
140,Random Forest,0.7844854667638248
140,XGBoost,0.797687636628613
141,Logistic,0.8024089147286821
141,Random Forest,0.7946686046511628
141,XGBoost,0.8072771317829457
142,Logistic,0.78902935641301
142,Random Forest,0.7866512140576212
142,XGBoost,0.7941595517325706
143,Logistic,0.7906110900866807
143,Random Forest,0.7785244454055613
143,XGBoost,0.78486241012056
144,Logistic,0.7963832221033964
144,Random Forest,0.7833216011696065
144,XGBoost,0.7993833845487404
145,Logistic,0.8299634489024106
145,Random Forest,0.8056383061136816
145,XGBoost,0.8182199122491953
146,Logistic,0.782615904906333
146,Random Forest,0.7655751805805522
146,XGBoost,0.7775914302394269
147,Logistic,0.830839242314149
147,Random Forest,0.8106928541003734
147,XGBoost,0.8265139936358397
148,Logistic,0.8148197087896729
148,Random Forest,0.8026935684700023
148,XGBoost,0.8143521459609178
149,Logistic,0.8026016027894984
149,Random Forest,0.7999351705344586
149,XGBoost,0.8079619374120957
150,Logistic,0.8035815691614409
150,Random Forest,0.7735209349754838
150,XGBoost,0.7979639003718653
151,Logistic,0.79044357469015
151,Random Forest,0.7819171410781
151,XGBoost,0.7882494218110657
152,Logistic,0.8282139624762483
152,Random Forest,0.8131963111323179
152,XGBoost,0.8251761313755822
153,Logistic,0.7965829402014535
153,Random Forest,0.7959144642174095
153,XGBoost,0.8070399446276024
154,Logistic,0.8151478522878566
154,Random Forest,0.8062802186251838
154,XGBoost,0.8202315885361924
155,Logistic,0.798407222548444
155,Random Forest,0.7944436288901937
155,XGBoost,0.8056921608925425
156,Logistic,0.7917641855087001
156,Random Forest,0.7845164458561458
156,XGBoost,0.7914524734957719
157,Logistic,0.7777151909875022
157,Random Forest,0.7648019714838937
157,XGBoost,0.7728639324062665
158,Logistic,0.8112280987694565
158,Random Forest,0.7958063727487572
158,XGBoost,0.8046108711596447
159,Logistic,0.7737747350522666
159,Random Forest,0.7655535247772167
159,XGBoost,0.7760120332221568
160,Logistic,0.8139012259896024
160,Random Forest,0.8013408576606353
160,XGBoost,0.8082485907535908
161,Logistic,0.805702891326022
161,Random Forest,0.7964107676969093
161,XGBoost,0.8051326021934198
162,Logistic,0.8175574191125853
162,Random Forest,0.795401603493474
162,XGBoost,0.8087524598257434
163,Logistic,0.7910042625745951
163,Random Forest,0.772383631713555
163,XGBoost,0.7855890878090368
164,Logistic,0.8053122388799488
164,Random Forest,0.7839253031295055
164,XGBoost,0.8013670759745273
165,Logistic,0.8323963197069318
165,Random Forest,0.822069758988096
165,XGBoost,0.8298658535294179
166,Logistic,0.838999634003602
166,Random Forest,0.8164292521715183
166,XGBoost,0.8278458031809073
167,Logistic,0.791077441077441
167,Random Forest,0.7896604938271605
167,XGBoost,0.7988478535353535
168,Logistic,0.815427109068399
168,Random Forest,0.7957585229002493
168,XGBoost,0.8121742275098205
169,Logistic,0.8031079234972678
169,Random Forest,0.7864434501428785
169,XGBoost,0.8018499022409386
170,Logistic,0.8046805608425326
170,Random Forest,0.7806338028169013
170,XGBoost,0.7951703464027409
171,Logistic,0.8152605930738923
171,Random Forest,0.8016865970830165
171,XGBoost,0.814621206884634
172,Logistic,0.8065004363631365
172,Random Forest,0.7900199971138187
172,XGBoost,0.8069041581627394
173,Logistic,0.8090566921755428
173,Random Forest,0.7907527721380603
173,XGBoost,0.8043104794627519
174,Logistic,0.8325442018759858
174,Random Forest,0.8125674441769735
174,XGBoost,0.8233352701917489
175,Logistic,0.8214706962208297
175,Random Forest,0.8101883465974695
175,XGBoost,0.8211869081466687
176,Logistic,0.7693976598435264
176,Random Forest,0.7660208307277553
176,XGBoost,0.7741102819582829
177,Logistic,0.7888606200991096
177,Random Forest,0.7827963318080844
177,XGBoost,0.793726860202396
178,Logistic,0.7994422439273229
178,Random Forest,0.7902582106795097
178,XGBoost,0.8016327586982941
179,Logistic,0.8222317177851473
179,Random Forest,0.798057106987684
179,XGBoost,0.8115246302717705
180,Logistic,0.8127853724635941
180,Random Forest,0.7947033498567777
180,XGBoost,0.807224575907789
