replicate,model,auc
69,TabICL,0.8056371844089585
70,TabICL,0.803510796362578
71,TabICL,0.8165385472859699
72,TabICL,0.819567679353981
73,TabICL,0.8239723183391005
74,TabICL,0.8178401999346898
75,TabICL,0.80887280452017
76,TabICL,0.7874499944488018
77,TabICL,0.7957997881355932
78,TabICL,0.8029155826679824
79,TabICL,0.8106218446643979
80,TabICL,0.8285856536972156
81,TabICL,0.8076983571422398
82,TabICL,0.8223116941215519
83,TabICL,0.8042269965785946
84,TabICL,0.8155349347514156
85,TabICL,0.7828221011253494
86,TabICL,0.8093300483274899
87,TabICL,0.7933450896194836
88,TabICL,0.8127531219980788
89,TabICL,0.8227105606319527
90,TabICL,0.8135310704215297
91,TabICL,0.8092043209154063
92,TabICL,0.8131419546636939
93,TabICL,0.8017694063926941
94,TabICL,0.8248997062826849
95,TabICL,0.8165204861939502
96,TabICL,0.7993782902490767
97,TabICL,0.8223776777791862
98,TabICL,0.8037829912023461
99,TabICL,0.7841723254204314
100,TabICL,0.8011179389199428
101,TabICL,0.809174099641344
102,TabICL,0.8014587221155953
103,TabICL,0.8152548495978296
104,TabICL,0.8287601800036987
105,TabICL,0.821614818356107
106,TabICL,0.8057050957376262
107,TabICL,0.8148862168339461
108,TabICL,0.8116332933741804
109,TabICL,0.8373321994776164
110,TabICL,0.8274733969258671
111,TabICL,0.794990782279823
112,TabICL,0.8066891225764049
113,TabICL,0.8365070659333337
114,TabICL,0.8111259581314028
115,TabICL,0.8182267673825458
116,TabICL,0.8310326811515872
117,TabICL,0.8201553259374957
118,TabICL,0.8008760545100584
119,TabICL,0.805723207070959
120,TabICL,0.8146309876535275
121,TabICL,0.800055931188091
122,TabICL,0.8307871511133014
123,TabICL,0.8040623001261906
124,TabICL,0.8083642330015685
125,TabICL,0.803161515291556
126,TabICL,0.8192905611480048
127,TabICL,0.8261311951733762
128,TabICL,0.8091015454403309
129,TabICL,0.8230333153364882
130,TabICL,0.8085742029886851
131,TabICL,0.8056928493300519
132,TabICL,0.8089767029557606
133,TabICL,0.8029619286600831
134,TabICL,0.815747212578193
135,TabICL,0.807902384433494
136,TabICL,0.8307570815936993
137,TabICL,0.801328226571559
138,TabICL,0.8066495441441152
139,TabICL,0.8218929342999908
140,TabICL,0.8241739321284776
141,TabICL,0.8322424269502278
142,TabICL,0.8144302357047203
143,TabICL,0.8079807770818024
144,TabICL,0.7945722070460016
145,TabICL,0.8107992737387004
146,TabICL,0.8281654096651456
147,TabICL,0.8306220357768843
148,TabICL,0.8202837147191867
149,TabICL,0.8429345071645525
150,TabICL,0.8290322147741075
151,TabICL,0.8135252262542304
152,TabICL,0.8036422805934738
153,TabICL,0.7897416345204987
154,TabICL,0.7934925116366183
155,TabICL,0.812114927004952
156,TabICL,0.8252735222249676
157,TabICL,0.825904883983662
158,TabICL,0.816106851365106
159,TabICL,0.8194700375260401
160,TabICL,0.8222857142857143
161,TabICL,0.8115712435126282
162,TabICL,0.8170664416819742
163,TabICL,0.8039557263545704
164,TabICL,0.8087640003829164
165,TabICL,0.8192338243789719
166,TabICL,0.829740090968161
167,TabICL,0.8017006155212894
168,TabICL,0.8345795007290627
169,TabICL,0.8047963154418312
170,TabICL,0.8514626865671643
171,TabICL,0.8164920541494998
172,TabICL,0.8174849074127823
173,TabICL,0.8167130642274807
174,TabICL,0.8158786888258769
175,TabICL,0.8122852358765289
176,TabICL,0.8016153297965001
177,TabICL,0.8035595084150544
178,TabICL,0.8131090304908167
179,TabICL,0.8130072428561819
180,TabICL,0.8113167504592125
181,TabICL,0.7722065092638137
182,TabICL,0.8176328094382205
183,TabICL,0.8006283083158061
184,TabICL,0.8189539867262682
185,TabICL,0.8236618428122219
186,TabICL,0.8086616956678306
187,TabICL,0.814611190519166
188,TabICL,0.8320818393818905
189,TabICL,0.80457570496633
190,TabICL,0.8183393352196405
191,TabICL,0.8321512047043762
192,TabICL,0.8097914445987704
193,TabICL,0.8176984278334132
194,TabICL,0.8158454266933652
195,TabICL,0.7930984507746126
196,TabICL,0.8028011620525823
197,TabICL,0.8231263139570696
198,TabICL,0.813722206350301
199,TabICL,0.8056359146952645
